age,120661,4,,4,,,,120663,5,,5,,,,120664,5,,5,,,,120665,5,,5,,,,120667,5,,5,,,,120668,5,,5,,,,120669,5,,5,,,,120670,5,,5,,,
american,120661,2,,,1,1,,120663,4,,1,1,2,,120664,2,,,1,1,,120665,2,,,1,1,,120667,2,,,1,1,,120668,2,,,1,1,,120669,2,,,1,1,,120670,4,,1,1,2,
area,120661,1,,1,,,,120663,1,,1,,,,120664,1,,1,,,,120665,1,,1,,,,120667,1,,1,,,,120668,1,,1,,,,120669,1,,1,,,,120670,1,,1,,,
average,120661,3,,3,,,,120663,2,,2,,,,120664,3,,3,,,,120665,2,,2,,,,120667,3,,3,,,,120668,3,,3,,,,120669,3,,3,,,,120670,2,,2,,,
boxville,120661,2,1,,1,,
bureau,120661,2,,1,,1,,120663,2,,1,,1,,120664,2,,1,,1,,120665,2,,1,,1,,120667,2,,1,,1,,120668,2,,1,,1,,120669,2,,1,,1,,120670,2,,1,,1,
capita,120661,2,,1,,1,,120663,2,,1,,1,,120664,2,,1,,1,,120665,2,,1,,1,,120667,2,,1,,1,,120668,2,,1,,1,,120669,2,,1,,1,,120670,2,,1,,1,
cdt,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
cedar,120663,2,1,,1,,
census,120661,9,,4,1,4,,120663,8,,2,1,5,,120664,9,,4,1,4,,120665,11,,2,1,8,,120667,9,,4,1,4,,120668,9,,4,1,4,,120669,9,,4,1,4,,120670,10,,2,1,7,
central,120661,3,,,2,1,,120663,3,,,2,1,,120664,3,,,2,1,,120665,3,,,2,1,,120667,3,,,2,1,,120668,3,,,2,1,,120669,3,,,2,1,,120670,3,,,2,1,
code,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
como,120664,2,1,,1,,
comstock,120665,2,1,,1,,
counties,120661,2,,,1,1,,120663,2,,,1,1,,120664,2,,,1,1,,120665,2,,,1,1,,120667,2,,,1,1,,120668,2,,,1,1,,120669,2,,,1,1,,120670,2,,,1,1,
countries,120661,2,,,1,1,,120663,2,,,1,1,,120664,2,,,1,1,,120665,2,,,1,1,,120667,2,,,1,1,,120668,2,,,1,1,,120669,2,,,1,1,,120670,2,,,1,1,
country,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
county,120661,7,1,1,2,2,1,120662,2,,1,,1,,120663,7,1,1,2,2,1,120664,7,1,1,2,2,1,120665,7,1,1,2,2,1,120666,2,,1,,1,,120667,7,1,1,2,2,1,120668,7,1,1,2,2,1,120669,7,1,1,2,2,1,120670,7,1,1,2,2,1
couples,120661,1,,1,,,,120663,1,,1,,,,120664,1,,1,,,,120665,1,,1,,,,120667,1,,1,,,,120668,1,,1,,,,120669,1,,1,,,,120670,1,,1,,,
cst,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
density,120661,3,,2,,1,,120663,1,,,,1,,120664,3,,2,,1,,120665,1,,,,1,,120667,3,,2,,1,,120668,3,,2,,1,,120669,3,,2,,1,,120670,1,,,,1,
divisions,120661,2,,,1,1,,120663,2,,,1,1,,120664,2,,,1,1,,120665,2,,,1,1,,120667,2,,,1,1,,120668,2,,,1,1,,120669,2,,,1,1,,120670,2,,,1,1,
donnelly,120667,2,1,,1,,
eagle,120668,2,1,,1,,
east,120669,2,1,,1,,,120670,2,1,,1,,
eighteens,120663,1,,1,,,,120665,1,,1,,,,120668,1,,1,,,,120670,1,,1,,,
fall,120666,3,1,1,,1,
families,120661,3,,3,,,,120663,2,,2,,,,120664,3,,3,,,,120665,2,,2,,,,120667,3,,3,,,,120668,3,,3,,,,120669,3,,3,,,,120670,2,,2,,,
family,120661,2,,2,,,,120663,2,,2,,,,120664,2,,2,,,,120665,2,,2,,,,120667,2,,2,,,,120668,2,,2,,,,120669,2,,2,,,,120670,2,,2,,,
feature,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
federal,120661,2,,,1,1,,120663,2,,,1,1,,120664,2,,,1,1,,120665,2,,,1,1,,120667,2,,,1,1,,120668,2,,,1,1,,120669,2,,,1,1,,120670,2,,,1,1,
female,120661,1,,1,,,,120663,1,,1,,,,120664,1,,1,,,,120665,1,,1,,,,120668,1,,1,,,,120670,1,,1,,,
females,120661,3,,3,,,,120663,3,,3,,,,120664,3,,3,,,,120665,3,,3,,,,120667,3,,3,,,,120668,3,,3,,,,120669,3,,3,,,,120670,3,,3,,,
fips,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
geographic,120661,2,,,1,1,,120663,2,,,1,1,,120664,2,,,1,1,,120665,2,,,1,1,,120667,2,,,1,1,,120668,2,,,1,1,,120669,2,,,1,1,,120670,2,,,1,1,
gnis,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
grant,120662,3,1,1,,1,
hispanic,120665,2,,1,,1,,120670,2,,1,,1,
household,120661,2,,2,,,,120663,2,,2,,,,120664,2,,2,,,,120665,2,,2,,,,120667,2,,2,,,,120668,2,,2,,,,120669,2,,2,,,,120670,2,,2,,,
householder,120661,1,,1,,,,120663,1,,1,,,,120664,1,,1,,,,120665,1,,1,,,,120668,1,,1,,,,120670,1,,1,,,
households,120661,2,,2,,,,120663,1,,1,,,,120664,2,,2,,,,120665,1,,1,,,,120667,2,,2,,,,120668,2,,2,,,,120669,2,,2,,,,120670,1,,1,,,
housing,120661,1,,1,,,,120664,1,,1,,,,120667,1,,1,,,,120668,1,,1,,,,120669,1,,1,,,
huron,120662,3,1,1,,1,
husband,120661,1,,1,,,,120663,1,,1,,,,120664,1,,1,,,,120665,1,,1,,,,120668,1,,1,,,,120670,1,,1,,,
imperial,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
including,120663,1,,1,,,,120665,1,,1,,,,120668,1,,1,,,,120670,1,,1,,,
income,120661,5,,4,,1,,120663,5,,4,,1,,120664,5,,4,,1,,120665,5,,4,,1,,120667,5,,4,,1,,120668,5,,4,,1,,120669,5,,4,,1,,120670,5,,4,,1,
individuals,120661,1,,1,,,,120663,1,,1,,,,120664,1,,1,,,,120665,1,,1,,,,120667,1,,1,,,,120668,1,,1,,,,120669,1,,1,,,,120670,1,,1,,,
information,120661,4,,,2,2,,120663,4,,,2,2,,120664,4,,,2,2,,120665,4,,,2,2,,120667,4,,,2,2,,120668,4,,,2,2,,120669,4,,,2,2,,120670,4,,,2,2,
inline,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
lake,120666,5,1,2,,2,
land,120661,1,,1,,,,120663,1,,1,,,,120664,1,,1,,,,120665,1,,1,,,,120667,1,,1,,,,120668,1,,1,,,,120669,1,,1,,,,120670,1,,1,,,
latino,120665,2,,1,,1,,120670,2,,1,,1,
left,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
line,120661,2,,1,,1,,120663,2,,1,,1,,120664,2,,1,,1,,120665,2,,1,,1,,120667,2,,1,,1,,120668,2,,1,,1,,120669,2,,1,,1,,120670,2,,1,,1,
list,120661,4,,,2,2,,120663,4,,,2,2,,120664,4,,,2,2,,120665,4,,,2,2,,120667,4,,,2,2,,120668,4,,,2,2,,120669,4,,,2,2,,120670,4,,,2,2,
living,120661,2,,2,,,,120663,3,,3,,,,120664,2,,2,,,,120665,3,,3,,,,120667,2,,2,,,,120668,3,,3,,,,120669,2,,2,,,,120670,3,,3,,,
location,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
made,120661,1,,1,,,,120663,1,,1,,,,120664,1,,1,,,,120665,1,,1,,,,120667,1,,1,,,,120668,1,,1,,,,120669,1,,1,,,,120670,1,,1,,,
makeup,120661,1,,1,,,,120664,1,,1,,,,120667,1,,1,,,,120668,1,,1,,,,120669,1,,1,,,
males,120661,3,,3,,,,120663,3,,3,,,,120664,3,,3,,,,120665,3,,3,,,,120667,3,,3,,,,120668,3,,3,,,,120669,3,,3,,,,120670,3,,3,,,
marriage,120661,1,,,,1,,120663,1,,,,1,,120664,1,,,,1,,120665,1,,,,1,,120667,1,,,,1,,120668,1,,,,1,,120669,1,,,,1,,120670,1,,,,1,
married,120661,1,,1,,,,120663,1,,1,,,,120664,1,,1,,,,120665,1,,1,,,,120667,1,,1,,,,120668,1,,1,,,,120669,1,,1,,,,120670,1,,1,,,
marshall,120661,7,1,1,2,2,1,120663,7,1,1,2,2,1,120664,7,1,1,2,2,1,120665,7,1,1,2,2,1,120667,7,1,1,2,2,1,120668,7,1,1,2,2,1,120669,7,1,1,2,2,1,120670,7,1,1,2,2,1
median,120661,4,,4,,,,120663,4,,4,,,,120664,4,,4,,,,120665,4,,4,,,,120667,4,,4,,,,120668,4,,4,,,,120669,4,,4,,,,120670,4,,4,,,
michigan,120662,3,1,1,,1,
miles,120661,1,,1,,,,120663,3,,3,,,,120664,1,,1,,,,120665,1,,1,,,,120667,1,,1,,,,120668,3,,3,,,,120669,3,,3,,,,120670,3,,3,,,
minnesota,120661,15,1,1,6,5,2,120663,15,1,1,6,5,2,120664,15,1,1,6,5,2,120665,14,1,,6,5,2,120666,3,1,1,,1,,120667,15,1,1,6,5,2,120668,15,1,1,6,5,2,120669,15,1,1,6,5,2,120670,15,1,1,6,5,2
names,120661,2,,,1,1,,120663,2,,,1,1,,120664,2,,,1,1,,120665,2,,,1,1,,120667,2,,,1,1,,120668,2,,,1,1,,120669,2,,,1,1,,120670,2,,,1,1,
native,120663,2,,1,,1,,120670,2,,1,,1,
nbsp,120661,3,,3,,,,120663,6,,6,,,,120664,3,,3,,,,120665,2,,2,,,,120667,3,,3,,,,120668,7,,7,,,,120669,7,,7,,,,120670,6,,6,,,
north,120661,2,,,1,1,,120663,2,,,1,1,,120664,2,,,1,1,,120665,2,,,1,1,,120667,2,,,1,1,,120668,2,,,1,1,,120669,2,,,1,1,,120670,2,,,1,1,
older,120661,2,,2,,,,120663,2,,2,,,,120664,2,,2,,,,120665,2,,2,,,,120667,2,,2,,,,120668,2,,2,,,,120669,2,,2,,,,120670,2,,2,,,
park,120669,2,1,,1,,
people,120661,2,,2,,,,120664,2,,2,,,,120667,2,,2,,,,120668,2,,2,,,,120669,3,,3,,,
point,120668,2,1,,1,,
political,120661,2,,,1,1,,120663,2,,,1,1,,120664,2,,,1,1,,120665,2,,,1,1,,120667,2,,,1,1,,120668,2,,,1,1,,120669,2,,,1,1,,120670,2,,,1,1,
population,120661,5,,4,,1,,120663,4,,3,,1,,120664,5,,4,,1,,120665,5,,4,,1,,120667,5,,4,,1,,120668,5,,4,,1,,120669,4,,3,,1,,120670,5,,4,,1,
poverty,120661,2,,1,,1,,120663,2,,1,,1,,120664,2,,1,,1,,120665,2,,1,,1,,120667,2,,1,,1,,120668,2,,1,,1,,120669,2,,1,,1,,120670,2,,1,,1,
present,120661,1,,1,,,,120663,1,,1,,,,120664,1,,1,,,,120665,1,,1,,,,120668,1,,1,,,,120670,1,,1,,,
processing,120661,2,,,1,1,,120663,2,,,1,1,,120664,2,,,1,1,,120665,2,,,1,1,,120667,2,,,1,1,,120668,2,,,1,1,,120669,2,,,1,1,,120670,2,,,1,1,
race,120665,2,,1,,1,,120670,1,,1,,,
races,120663,1,,1,,,,120665,1,,1,,,,120669,1,,1,,,
racial,120661,1,,1,,,,120664,1,,1,,,,120667,1,,1,,,,120668,1,,1,,,,120669,1,,1,,,
redirect,120662,1,,1,,,,120666,1,,1,,,
residing,120661,1,,1,,,,120664,1,,1,,,,120667,1,,1,,,,120668,1,,1,,,,120669,1,,1,,,
settlement,120661,1,,,1,,,120663,1,,,1,,,120664,1,,,1,,,120665,1,,,1,,,120667,1,,,1,,,120668,1,,,1,,,120669,1,,,1,,,120670,1,,,1,,
size,120661,2,,2,,,,120663,2,,2,,,,120664,2,,2,,,,120665,2,,2,,,,120667,2,,2,,,,120668,2,,2,,,,120669,2,,2,,,,120670,2,,2,,,
spread,120661,1,,1,,,,120663,1,,1,,,,120664,1,,1,,,,120665,1,,1,,,,120667,1,,1,,,,120668,1,,1,,,,120669,1,,1,,,,120670,1,,1,,,
square,120661,2,,2,,,,120663,3,,3,,,,120664,2,,2,,,,120665,1,,1,,,,120667,2,,2,,,,120668,4,,4,,,,120669,4,,4,,,,120670,3,,3,,,
