academic,114439,1,,1,,,
accolades,114444,2,,2,,,
accredited,114439,1,,1,,,
activist,114444,1,,1,,,
actor,114444,2,,1,,1,
actress,114444,1,,1,,,
additional,114439,1,,1,,,
african,114436,2,,1,,1,,114438,2,,1,,1,,114439,2,,1,,1,,114440,2,,1,,1,,114441,2,,1,,1,,114443,2,,1,,1,,114444,1,,,,1,
age,114435,5,,5,,,,114436,5,,5,,,,114437,6,,6,,,,114438,5,,5,,,,114439,7,,7,,,,114440,7,,7,,,,114441,7,,7,,,,114442,5,,5,,,,114443,7,,7,,,,114444,7,,7,,,
agent,114439,1,,1,,,
agriculture,114440,1,,1,,,
aired,114444,1,,1,,,
alfred,114444,2,,1,,1,
allegedly,114437,1,,1,,,
allen,114444,4,,2,,2,
allison,114439,1,,1,,,
allowed,114440,1,,1,,,
allowing,114439,1,,1,,,
almon,114444,2,,1,,1,
amateur,114444,1,,1,,,
american,114435,4,,1,1,2,,114436,6,,2,1,3,,114437,4,,1,1,2,,114438,6,,2,1,3,,114439,6,,2,1,3,,114440,6,,2,1,3,,114441,6,,2,1,3,,114442,2,,,1,1,,114443,6,,2,1,3,,114444,10,,2,1,7,
americans,114440,2,,1,,1,,114444,1,,,,1,
andale,114439,1,,,,1,
andover,114439,45,1,34,3,7,,114441,3,,2,,1,
andoverks,114439,2,,,2,,
andovers,114439,2,,2,,,
annexation,114439,1,,1,,,
annual,114444,1,,1,,,
antonio,114444,1,,1,,,
approved,114439,1,,1,,,
april,114439,2,,2,,,,114444,1,,1,,,
area,114435,3,,1,1,1,,114436,3,,1,1,1,,114437,3,,1,1,1,,114438,3,,1,1,1,,114439,8,,4,1,2,1,114440,6,,3,1,1,1,114441,4,,1,1,1,1,114442,5,,2,1,1,1,114443,4,,1,1,1,1,114444,4,,,1,2,1
areas,114435,1,,,1,,,114436,1,,,1,,,114437,1,,,1,,,114438,1,,,1,,,114439,2,,1,1,,,114440,1,,,1,,,114441,1,,,1,,,114442,1,,,1,,,114443,1,,,1,,,114444,1,,,1,,
armour,114444,1,,,,1,
arrive,114439,1,,1,,,
arrived,114439,1,,1,,,
art,114439,1,,1,,,,114440,2,,1,,1,,114444,1,,1,,,
artist,114444,1,,1,,,
arts,114440,1,,1,,,
asian,114437,1,,,,1,,114439,1,,,,1,,114440,1,,,,1,,114441,1,,,,1,,114443,1,,,,1,,114444,1,,,,1,
asphalt,114444,2,,1,,1,
athletic,114439,1,,1,,,
attempted,114444,1,,1,,,
attend,114441,1,,1,,,
august,114439,2,,2,,,
augusta,114440,10,1,5,3,1,
augustagov,114440,2,,,2,,
average,114435,2,,2,,,,114436,2,,2,,,,114437,2,,2,,,,114438,2,,2,,,,114439,2,,2,,,,114440,2,,2,,,,114441,2,,2,,,,114442,2,,2,,,,114443,2,,2,,,,114444,2,,2,,,
back,114439,1,,1,,,
baker,114439,1,,1,,,
barack,114440,2,,1,,1,,114444,2,,1,,1,
bartee,114444,2,,1,,1,
baseball,114444,6,,5,,1,
basketball,114444,1,,1,,,
beals,114444,2,,1,,1,
becker,114444,2,,1,,1,
began,114439,2,,2,,,,114441,1,,1,,,
ben,114439,2,,1,,1,
bengals,114444,3,,1,,2,
benton,114441,9,1,5,3,,
bentonks,114441,2,,,2,,
bike,114442,1,,1,,,
bikers,114442,1,,1,,,
black,114439,1,,1,,,,114444,2,,1,,1,
blow,114439,1,,1,,,
blue,114439,1,,1,,,
bnsf,114442,2,,1,,1,
board,114441,1,,1,,,
bond,114439,2,,2,,,
