african,121618,2,,1,,1,
age,121618,6,,6,,,,121619,5,,5,,,,121621,7,,7,,,,121622,5,,5,,,,121623,5,,5,,,,121624,5,,5,,,,121625,5,,5,,,,121626,5,,5,,,,121627,5,,5,,,
american,121618,6,,2,1,3,,121619,2,,,1,1,,121621,4,,1,1,2,,121622,2,,,1,1,,121623,2,,,1,1,,121624,2,,,1,1,,121625,2,,,1,1,,121626,2,,,1,1,,121627,2,,,1,1,
area,121618,1,,1,,,,121619,1,,1,,,,121621,1,,1,,,,121622,1,,1,,,,121623,1,,1,,,,121624,1,,1,,,,121625,1,,1,,,,121626,1,,1,,,,121627,1,,1,,,
asian,121621,1,,,,1,,121623,3,,2,,1,,121625,3,,2,,1,,121626,3,,2,,1,
average,121618,2,,2,,,,121619,3,,3,,,,121621,2,,2,,,,121622,3,,3,,,,121623,3,,3,,,,121624,3,,3,,,,121625,3,,3,,,,121626,2,,2,,,,121627,2,,2,,,
bureau,121618,2,,1,,1,,121619,2,,1,,1,,121621,2,,1,,1,,121622,2,,1,,1,,121623,2,,1,,1,,121624,2,,1,,1,,121625,2,,1,,1,,121626,2,,1,,1,,121627,2,,1,,1,
capita,121618,2,,1,,1,,121619,2,,1,,1,,121621,2,,1,,1,,121622,2,,1,,1,,121623,2,,1,,1,,121624,2,,1,,1,,121625,2,,1,,1,,121626,2,,1,,1,,121627,2,,1,,1,
cdt,121618,1,,,1,,,121619,1,,,1,,,121621,1,,,1,,,121622,1,,,1,,,121623,1,,,1,,,121624,1,,,1,,,121625,1,,,1,,,121626,1,,,1,,,121627,1,,,1,,
census,121618,9,,2,1,6,,121619,9,,4,1,4,,121621,11,,2,1,8,,121622,9,,4,1,4,,121623,11,,5,1,5,,121624,9,,4,1,4,,121625,11,,5,1,5,,121626,9,,3,1,5,,121627,9,,2,1,6,
central,121618,3,,,2,1,,121619,3,,,2,1,,121621,3,,,2,1,,121622,3,,,2,1,,121623,3,,,2,1,,121624,3,,,2,1,,121625,3,,,2,1,,121626,3,,,2,1,,121627,3,,,2,1,
code,121618,1,,,1,,,121619,1,,,1,,,121621,1,,,1,,,121622,1,,,1,,,121623,1,,,1,,,121624,1,,,1,,,121625,1,,,1,,,121626,1,,,1,,,121627,1,,,1,,
counties,121618,2,,,1,1,,121619,2,,,1,1,,121621,2,,,1,1,,121622,2,,,1,1,,121623,2,,,1,1,,121624,2,,,1,1,,121625,2,,,1,1,,121626,2,,,1,1,,121627,2,,,1,1,
